A_PRGID,A_USERID,A_SYSDT,U_PRGID,U_USERID,U_SYSDT,LIST_NO,DEPTID_M,EMPLID,RATION,PROD_TYPE
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,22157,3.3,01
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,22049,3.8,01
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,22039,4.2,01
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,21831,3.3,01
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,21648,3.8,01
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,21647,5.7,01
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,21575,3.3,01
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,21408,4.6,01
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,21327,4.2,01
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,21291,3.3,01
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,21208,3.3,01
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,20938,3.8,01
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,20873,5.7,01
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,20777,3.8,01
OBZ021,23770,2026-05-28 09:40:07.517,OBZ021,23770,2026-05-28 09:40:07.517,OB202606001,XVE1,20742,4.2,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE4,22961,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE4,22350,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE4,22304,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE4,22291,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE4,22290,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE4,22287,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE4,22286,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE4,22282,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE4,22272,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE4,22162,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE4,22159,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE4,21557,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE4,20501,100.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE3,23841,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE3,23747,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE3,23701,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE3,23165,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE3,22622,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE3,22593,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE3,22499,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE3,21953,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE3,21838,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE3,21730,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE3,20765,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE3,20190,100.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE2,23906,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE2,23835,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE2,23821,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE2,23757,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE2,23746,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE2,23724,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE2,23689,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE2,23263,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE2,22737,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE2,22736,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE2,22592,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE2,22559,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE2,22520,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE2,22512,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE2,22411,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE2,22395,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE2,22278,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE2,22274,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE2,22273,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE2,22163,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE2,21957,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE2,21731,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE2,21581,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE2,21523,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE2,21466,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE2,20885,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE2,20442,100.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,23905,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,23301,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,23254,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,23166,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,23066,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,22978,100.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,22802,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,22603,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,22511,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,22315,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,22254,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,22157,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,22049,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,22039,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,21831,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,21648,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,21647,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,21575,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,21408,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,21327,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,21291,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,21208,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,20981,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,20938,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,20873,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,20777,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,20742,0.0,01
OBZ021,23874,2026-04-30 11:14:01.240,OBZ021,23874,2026-04-30 11:14:01.240,OB202605013,XVE1,20629,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE4,22961,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE4,22350,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE4,22304,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE4,22291,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE4,22290,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE4,22287,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE4,22286,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE4,22282,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE4,22272,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE4,22162,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE4,22159,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE4,21557,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE4,20501,100.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE3,23841,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE3,23747,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE3,23701,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE3,23165,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE3,22622,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE3,22593,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE3,22499,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE3,21953,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE3,21838,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE3,21730,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE3,20765,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE3,20190,100.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE2,23906,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE2,23835,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE2,23821,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE2,23757,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE2,23746,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE2,23724,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE2,23689,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE2,23263,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE2,22737,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE2,22736,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE2,22592,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE2,22559,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE2,22520,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE2,22512,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE2,22411,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE2,22395,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE2,22278,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE2,22274,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE2,22273,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE2,22163,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE2,21957,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE2,21731,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE2,21581,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE2,21523,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE2,21466,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE2,20885,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE2,20442,100.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,23905,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,23301,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,23254,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,23166,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,23066,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,22978,100.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,22802,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,22603,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,22511,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,22315,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,22254,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,22157,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,22049,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,22039,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,21831,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,21648,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,21647,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,21575,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,21408,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,21327,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,21291,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,21208,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,20981,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,20938,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,20873,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,20777,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,20742,0.0,01
OBZ021,23874,2026-04-30 11:13:48.980,OBZ021,23874,2026-04-30 11:13:48.980,OB202605012,XVE1,20629,0.0,01
OBZ021,23770,2026-04-29 15:21:47.597,OBZ021,23770,2026-04-29 15:21:47.597,OB202605010,XVE4,22961,0.0,03
OBZ021,23770,2026-04-29 15:21:47.597,OBZ021,23770,2026-04-29 15:21:47.597,OB202605010,XVE4,22350,0.0,03
OBZ021,23770,2026-04-29 15:21:47.597,OBZ021,23770,2026-04-29 15:21:47.597,OB202605010,XVE4,22304,0.0,03
OBZ021,23770,2026-04-29 15:21:47.597,OBZ021,23770,2026-04-29 15:21:47.597,OB202605010,XVE4,22291,0.0,03
OBZ021,23770,2026-04-29 15:21:47.597,OBZ021,23770,2026-04-29 15:21:47.597,OB202605010,XVE4,22290,0.0,03
OBZ021,23770,2026-04-29 15:21:47.597,OBZ021,23770,2026-04-29 15:21:47.597,OB202605010,XVE4,22287,0.0,03
OBZ021,23770,2026-04-29 15:21:47.597,OBZ021,23770,2026-04-29 15:21:47.597,OB202605010,XVE4,22286,0.0,03
OBZ021,23770,2026-04-29 15:21:47.597,OBZ021,23770,2026-04-29 15:21:47.597,OB202605010,XVE4,22282,0.0,03
OBZ021,23770,2026-04-29 15:21:47.597,OBZ021,23770,2026-04-29 15:21:47.597,OB202605010,XVE4,22272,62.5,03
OBZ021,23770,2026-04-29 15:21:47.597,OBZ021,23770,2026-04-29 15:21:47.597,OB202605010,XVE4,22162,0.0,03
OBZ021,23770,2026-04-29 15:21:47.597,OBZ021,23770,2026-04-29 15:21:47.597,OB202605010,XVE4,22159,0.0,03
OBZ021,23770,2026-04-29 15:21:47.597,OBZ021,23770,2026-04-29 15:21:47.597,OB202605010,XVE4,21557,0.0,03
